year,name,house,pop,popm,popf,foreign,density,area,numhouse,old65
1994,은평구,161212,511788,253362,258426,844,17261,29.65,3.17,21674
1994,서대문구,123325,374662,187350,187312,3572,21288,17.6,3.04,17825
1994,마포구,138685,412484,206014,206470,1913,17280,23.87,2.97,19781
1994,양천구,151076,492449,248530,243919,1170,28302,17.4,3.26,18702
1994,강서구,157418,508345,254121,254224,936,12276,41.41,3.23,20872
1994,구로구,225738,698274,358478,339796,2214,21211,32.92,3.09,23588
1994,영등포구,142594,433512,219952,213560,1452,17651,24.56,3.04,16985
1994,동작구,144123,440651,222206,218445,952,26951,16.35,3.06,18867
1994,관악구,186689,578658,293796,284862,681,19569,29.57,3.1,21075
1994,서초구,131546,412315,204524,207791,3154,8735,47.2,3.13,17742
1994,강남구,177641,572311,283965,288346,3813,14471,39.55,3.22,25087
1994,송파구,212950,680067,338608,341459,2048,20067,33.89,3.19,26471
1994,강동구,161195,520903,263042,257861,859,21192,24.58,3.23,20681
1995,합계,3448124,10595943,5326022,5269921,45072,17491,605.78,3.07,458918
1995,종로구,72488,204733,102852,101881,1647,8559,23.92,2.82,12624
1995,중구,53096,145646,73608,72038,2508,14608,9.97,2.74,8847
1995,용산구,93163,260993,130403,130590,6414,11934,21.87,2.8,15125
1995,성동구,113262,342648,174128,168520,1066,20347,16.84,3.03,15036
1995,광진구,129613,391148,198273,192875,1228,22941,17.05,3.02,14859
1995,동대문구,141352,420069,212978,207091,1084,29582,14.02,2.97,19398
1995,중랑구,142869,454951,229048,225903,417,24565,18.52,3.18,17130
1995,성북구,163304,497614,251559,246055,1877,20269,24.55,3.05,24537
1995,강북구,124571,395078,197924,197154,530,16734,23.61,3.17,16992
1995,도봉구,117150,374271,188030,186241,641,17942,20.86,3.19,15637
1995,노원구,185912,599462,297320,302142,933,16891,35.49,3.22,26969
1995,은평구,161512,503272,249383,253889,962,16939,29.71,3.12,22036
1995,서대문구,125996,371449,185556,185893,4131,21105,17.6,2.95,18413
1995,마포구,136891,400409,199823,200586,2181,16775,23.87,2.93,19973
1995,양천구,150868,487130,245734,241396,1353,27996,17.4,3.23,19038
1995,강서구,165058,523606,261503,262103,1197,12644,41.41,3.17,22066
1995,구로구,124797,383224,196935,186289,1017,19019,20.15,3.07,13884
1995,금천구,94341,284609,146001,138608,1520,21759,13.08,3.02,9616
1995,영등포구,140305,417914,211982,205932,1864,17016,24.56,2.98,17176
1995,동작구,145265,436684,220287,216397,1083,26709,16.35,3.01,19276
1995,관악구,183849,558462,283658,274804,809,18886,29.57,3.04,20959
1995,서초구,131800,407887,202273,205614,2969,8644,47.19,3.09,17947
1995,강남구,179387,559032,277480,281552,4459,14135,39.55,3.12,24483
1995,송파구,212400,669042,333328,335714,2236,19742,33.89,3.15,26466
1995,강동구,158875,506610,255956,250654,946,20611,24.58,3.19,20431
1996,합계,3456575,10469852,5258247,5211605,51776,17289,605.58,3.03,467766
1996,종로구,72027,199475,100075,99400,1912,8339,23.92,2.77,12876
1996,중구,50141,134839,68090,66749,2650,13524,9.97,2.69,8610
1996,용산구,92705,255024,127321,127703,7330,11661,21.87,2.75,15400
1996,성동구,110970,331206,168073,163133,1292,19668,16.84,2.98,15102
1996,광진구,132324,392217,198786,193431,1478,23004,17.05,2.96,15327
1996,동대문구,136771,399280,202162,197118,1220,28079,14.22,2.92,19389
1996,중랑구,152349,478390,240512,237878,540,25817,18.53,3.14,18694
